month,column,effective_missing_n,effective_missing_rate
2010-04,AEZ_31000,0,0.0
2010-04,AEZ_32000,0,0.0
2010-04,AEZ_33000,0,0.0
2010-04,AEZ_34000,0,0.0
2010-04,AEZ_36000,0,0.0
2010-04,AEZ_38000,0,0.0
2010-04,AEZ_4000,0,0.0
2010-04,AEZ_40000,0,0.0
2010-04,AEZ_43000,0,0.0
2010-04,AEZ_7000,0,0.0
2010-04,AEZ_9000,0,0.0
2010-04,crop,0,0.0
2010-04,range,0,0.0
2010-04,distance_to_river,0,0.0
2010-04,nightlight,0,0.0
2010-04,nightlight_sd,0,0.0
2010-04,elevation,0,0.0
2010-04,EVI,0,0.0
2010-04,market_distance,0,0.0
2010-04,FAO_price,0,0.0
2010-04,Rainf_f_tavg_mean,0,0.0
2010-04,Tair_f_tavg_mean,0,0.0
2010-04,gpp_mean,0,0.0
2010-04,sg_cec_5-15cm,0,0.0
2010-04,sg_cfvo_5-15cm,0,0.0
2010-04,sg_nitrogen_5-15cm,0,0.0
2010-04,sg_phh2o_5-15cm,0,0.0
2010-04,sg_soc_5-15cm,0,0.0
2010-04,market_access,0,0.0
2010-04,ruggedness,0,0.0
2010-04,slope,0,0.0
2010-04,CPI,0,0.0
2010-04,GDP,0,0.0
2010-04,CC,0,0.0
2010-04,gini,0,0.0
2010-04,WFP_Price,0,0.0
2010-04,WFP_Price_std,0,0.0
2010-04,fews_ipc,8,0.007692307692307693
2010-04,fews_ha,1040,1.0
2010-04,fews_proj_near,1040,1.0
2010-04,fews_proj_near_ha,1040,1.0
2010-04,fews_proj_med,1040,1.0
2010-04,fews_proj_med_ha,1040,1.0
2010-04,pop,0,0.0
2010-04,fews_ipc_adjusted,8,0.007692307692307693
2010-04,fews_proj_med_adjusted,1040,1.0
2010-04,ISO3,0,0.0
2010-04,Food_CPI,0,0.0
2010-04,Food_food_inflation,0,0.0
2010-04,Tair_zscore,16,0.015384615384615385
2010-04,Rainf_zscore,16,0.015384615384615385
2010-04,fews_ipc_crisis,8,0.007692307692307693
2010-05,unit_name,0,0.0
2010-05,ADMIN0,0,0.0
2010-05,ADMIN1,0,0.0
2010-05,ADMIN2,0,0.0
2010-05,ADMIN3,0,0.0
2010-05,FEWSNET_admin_code,0,0.0
2010-05,ISO,0,0.0
2010-05,lat,0,0.0
2010-05,lon,0,0.0
2010-05,date,0,0.0
2010-05,month,0,0.0
2010-05,distance_to_nearest_acled,0,0.0
2010-05,event_count_battles,0,0.0
