column,all_missing_start,all_missing_end,consecutive_months
fews_proj_med,2012-05,2012-06,2
fews_proj_med,2012-08,2012-09,2
fews_proj_med,2012-11,2012-12,2
fews_proj_med,2013-02,2013-03,2
fews_proj_med,2013-05,2013-06,2
fews_proj_med,2013-08,2013-09,2
fews_proj_med,2013-11,2013-12,2
fews_proj_med,2014-02,2014-03,2
fews_proj_med,2014-05,2014-06,2
fews_proj_med,2014-08,2014-09,2
fews_proj_med,2014-11,2014-12,2
fews_proj_med,2015-02,2015-03,2
fews_proj_med,2015-05,2015-06,2
fews_proj_med,2015-08,2015-09,2
fews_proj_med,2024-11,2024-12,2
fews_proj_med_adjusted,2011-05,2011-06,2
fews_proj_med_adjusted,2011-08,2011-09,2
fews_proj_med_adjusted,2011-11,2011-12,2
fews_proj_med_adjusted,2012-02,2012-03,2
fews_proj_med_adjusted,2012-05,2012-06,2
fews_proj_med_adjusted,2012-08,2012-09,2
fews_proj_med_adjusted,2012-11,2012-12,2
fews_proj_med_adjusted,2013-02,2013-03,2
fews_proj_med_adjusted,2013-05,2013-06,2
fews_proj_med_adjusted,2013-08,2013-09,2
fews_proj_med_adjusted,2013-11,2013-12,2
fews_proj_med_adjusted,2014-02,2014-03,2
fews_proj_med_adjusted,2014-05,2014-06,2
fews_proj_med_adjusted,2014-08,2014-09,2
fews_proj_med_adjusted,2014-11,2014-12,2
fews_proj_med_adjusted,2015-02,2015-03,2
fews_proj_med_adjusted,2015-05,2015-06,2
fews_proj_med_adjusted,2015-08,2015-09,2
fews_proj_med_adjusted,2024-11,2024-12,2
fews_proj_med_ha,2012-05,2012-06,2
fews_proj_med_ha,2012-08,2012-09,2
fews_proj_med_ha,2012-11,2012-12,2
fews_proj_med_ha,2013-02,2013-03,2
fews_proj_med_ha,2013-05,2013-06,2
fews_proj_med_ha,2013-08,2013-09,2
fews_proj_med_ha,2013-11,2013-12,2
fews_proj_med_ha,2014-02,2014-03,2
fews_proj_med_ha,2014-05,2014-06,2
fews_proj_med_ha,2014-08,2014-09,2
fews_proj_med_ha,2014-11,2014-12,2
fews_proj_med_ha,2015-02,2015-03,2
fews_proj_med_ha,2015-05,2015-06,2
fews_proj_med_ha,2015-08,2015-09,2
fews_proj_med_ha,2024-11,2024-12,2
fews_proj_near,2011-05,2011-06,2
fews_proj_near,2011-08,2011-09,2
fews_proj_near,2011-11,2011-12,2
fews_proj_near,2012-02,2012-03,2
fews_proj_near,2012-05,2012-06,2
fews_proj_near,2012-08,2012-09,2
fews_proj_near,2012-11,2012-12,2
fews_proj_near,2013-02,2013-03,2
fews_proj_near,2013-05,2013-06,2
fews_proj_near,2013-08,2013-09,2
fews_proj_near,2013-11,2013-12,2
fews_proj_near,2014-02,2014-03,2
fews_proj_near,2014-05,2014-06,2
fews_proj_near,2014-08,2014-09,2
fews_proj_near,2014-11,2014-12,2
fews_proj_near,2015-02,2015-03,2
fews_proj_near,2015-05,2015-06,2
fews_proj_near,2015-08,2015-09,2
fews_proj_near,2024-11,2024-12,2
fews_proj_near_ha,2012-05,2012-06,2
fews_proj_near_ha,2012-08,2012-09,2
fews_proj_near_ha,2012-11,2012-12,2
fews_proj_near_ha,2013-02,2013-03,2
fews_proj_near_ha,2013-05,2013-06,2
fews_proj_near_ha,2013-08,2013-09,2
fews_proj_near_ha,2013-11,2013-12,2
fews_proj_near_ha,2014-02,2014-03,2
fews_proj_near_ha,2014-05,2014-06,2
fews_proj_near_ha,2014-08,2014-09,2
fews_proj_near_ha,2014-11,2014-12,2
fews_proj_near_ha,2015-02,2015-03,2
fews_proj_near_ha,2015-05,2015-06,2
fews_proj_near_ha,2015-08,2015-09,2
fews_proj_near_ha,2024-11,2024-12,2
pop,2010-02,2010-03,2
pop,2010-05,2010-06,2
pop,2010-08,2010-09,2
pop,2010-11,2010-12,2
pop,2011-02,2011-03,2
pop,2011-05,2011-06,2
