column,feature_family,finite_n,raw_null_n,inf_n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,zero_rate_finite,negative_rate_finite,unique_finite
AEZ_19000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_25000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_31000,aez_dummy,187200,0,0,0.7028846153846153,0.45698900252950286,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2971153846153846,0.0,2
AEZ_32000,aez_dummy,187200,0,0,0.2586538461538462,0.4378961730199997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7413461538461539,0.0,2
AEZ_33000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_34000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_36000,aez_dummy,187200,0,0,0.038461538461538464,0.19230820595209075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9615384615384616,0.0,2
AEZ_38000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_4000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_40000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_43000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_7000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
AEZ_9000,aez_dummy,187200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
crop,agriculture_population,187200,0,0,77.85362426035502,48.12879451729476,1.0,3.0,8.880000000000292,38.0,75.95833333333334,111.0,167.0,189.0,200.0,0.0,0.0,623
range,agriculture_population,187200,0,0,41.53121301775148,34.51832030132632,1.0,2.0,6.0,15.0,31.5,56.05,114.57499999998254,158.0,199.0,0.0,0.0,542
