profile_type,cluster_i,cluster_j,similarity
error_mode,1,11,0.9199415396086169
error_mode,1,12,0.9438673875220358
error_mode,2,0,0.9810120824758966
error_mode,2,1,0.9924364961335306
error_mode,2,2,1.0
error_mode,2,3,0.99479085424487
error_mode,2,4,0.9917643518425796
error_mode,2,5,0.9798129795334489
error_mode,2,6,0.7499169765667951
error_mode,2,7,0.9595144215265592
error_mode,2,8,0.9978624041000338
error_mode,2,9,0.9935725249521323
error_mode,2,10,0.969377808638269
error_mode,2,11,0.957238743847316
error_mode,2,12,0.971265992067998
error_mode,3,0,0.9919279957651498
error_mode,3,1,0.9928881896531688
error_mode,3,2,0.99479085424487
error_mode,3,3,1.0
error_mode,3,4,0.9969793896175401
error_mode,3,5,0.9577851731026064
error_mode,3,6,0.6788692071377012
error_mode,3,7,0.9789749907504021
error_mode,3,8,0.9963301702997663
error_mode,3,9,0.9843326846567622
error_mode,3,10,0.9867182988234456
error_mode,3,11,0.9511363638680098
error_mode,3,12,0.9613199778687491
error_mode,4,0,0.9957316495274395
error_mode,4,1,0.9966551875142239
error_mode,4,2,0.9917643518425796
