scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs2,8,8-month horizon,2022-10,conflict,Conflict,0.08305169875974237,0.1937367223839956,38,0.42868330659135373,19,493
fs2,8,8-month horizon,2022-10,econ,Econ,0.10735729614294616,0.2504349819371098,16,0.42868330659135373,19,493
fs2,8,8-month horizon,2022-10,food_prices,Food Prices,0.017026282586770292,0.039717624467707,6,0.42868330659135373,19,493
fs2,8,8-month horizon,2022-10,geographic,Geographic,0.04061541339091401,0.0947445649653697,8,0.42868330659135373,19,493
fs2,8,8-month horizon,2022-10,lag,Lag,0.11690047391201952,0.27269658536868563,6,0.42868330659135373,19,493
fs2,8,8-month horizon,2023-02,weather,Weather,0.029695421421367378,0.06864041526100088,8,0.4326229861584082,31,481
fs2,8,8-month horizon,2023-02,agri,Agri,0.031870698468770324,0.07366852776773314,24,0.4326229861584082,31,481
fs2,8,8-month horizon,2023-02,conflict,Conflict,0.07886569540960797,0.18229659064100373,38,0.4326229861584082,31,481
fs2,8,8-month horizon,2023-02,econ,Econ,0.09404080546460067,0.21737357577705524,16,0.4326229861584082,31,481
fs2,8,8-month horizon,2023-02,food_prices,Food Prices,0.016418568448836168,0.037951216126145416,6,0.4326229861584082,31,481
fs2,8,8-month horizon,2023-02,geographic,Geographic,0.04211499154539827,0.09734802100870699,8,0.4326229861584082,31,481
fs2,8,8-month horizon,2023-02,lag,Lag,0.13961680539982743,0.32272165341835457,6,0.4326229861584082,31,481
fs2,8,8-month horizon,2023-06,weather,Weather,0.03013125159813335,0.06970160220935225,8,0.43228922496835337,19,493
fs2,8,8-month horizon,2023-06,agri,Agri,0.032122540843534386,0.07430798407220532,24,0.43228922496835337,19,493
fs2,8,8-month horizon,2023-06,conflict,Conflict,0.07855483715648973,0.181718240056158,38,0.43228922496835337,19,493
fs2,8,8-month horizon,2023-06,econ,Econ,0.09474533735988092,0.21917117496235755,16,0.43228922496835337,19,493
fs2,8,8-month horizon,2023-06,food_prices,Food Prices,0.015958194180508003,0.036915549263751034,6,0.43228922496835337,19,493
fs2,8,8-month horizon,2023-06,geographic,Geographic,0.03944712907581095,0.09125170556517748,8,0.43228922496835337,19,493
fs2,8,8-month horizon,2023-06,lag,Lag,0.14132993475399605,0.3269337438709984,6,0.43228922496835337,19,493
fs2,8,8-month horizon,2023-10,weather,Weather,0.03244748303117949,0.07406322545321362,8,0.4381051842209714,23,489
fs2,8,8-month horizon,2023-10,agri,Agri,0.03588159844744387,0.08190178920445258,24,0.4381051842209714,23,489
fs2,8,8-month horizon,2023-10,conflict,Conflict,0.07873816371096574,0.17972433686439054,38,0.4381051842209714,23,489
fs2,8,8-month horizon,2023-10,econ,Econ,0.10081988175248653,0.23012711418095208,16,0.4381051842209714,23,489
fs2,8,8-month horizon,2023-10,food_prices,Food Prices,0.015007103639335695,0.034254567578379566,6,0.4381051842209714,23,489
fs2,8,8-month horizon,2023-10,geographic,Geographic,0.03976162584664643,0.09075817241777141,8,0.4381051842209714,23,489
fs2,8,8-month horizon,2023-10,lag,Lag,0.13544932779291363,0.30917079430084016,6,0.4381051842209714,23,489
fs2,8,8-month horizon,2024-02,weather,Weather,0.030544283590857594,0.06912552256082438,8,0.441866946669102,53,459
