scope,forecasting_horizon,model,recall,precision,threshold,average_precision
fs1,4-month horizon,partitioned,0.9486742215865331,0.4568090911499033,0.16,0.7678856116105378
fs1,4-month horizon,partitioned,0.9437781934206183,0.4671095621868874,0.17,0.7678856116105378
fs1,4-month horizon,partitioned,0.9394872923313896,0.47725240330874136,0.18,0.7678856116105378
fs1,4-month horizon,partitioned,0.9337110793266586,0.48704410456541075,0.19,0.7678856116105378
fs1,4-month horizon,partitioned,0.9261194850918693,0.4962270824736191,0.2,0.7678856116105378
fs1,4-month horizon,partitioned,0.918747937066784,0.5059835792407671,0.21,0.7678856116105378
fs1,4-month horizon,partitioned,0.9119815161183848,0.515741662518666,0.22,0.7678856116105378
fs1,4-month horizon,partitioned,0.9051050720651337,0.5253863839570826,0.23,0.7678856116105378
fs1,4-month horizon,partitioned,0.8976785124876224,0.535016393442623,0.24,0.7678856116105378
fs1,4-month horizon,partitioned,0.8922873803498734,0.5452467392765901,0.25,0.7678856116105378
fs1,4-month horizon,partitioned,0.8855759709539003,0.55479735318445,0.26,0.7678856116105378
fs1,4-month horizon,partitioned,0.8787545384530752,0.5641333521683853,0.27,0.7678856116105378
fs1,4-month horizon,partitioned,0.8713829904279898,0.5741834922245985,0.28,0.7678856116105378
fs1,4-month horizon,partitioned,0.8643965232698867,0.5835406840717495,0.29,0.7678856116105378
fs1,4-month horizon,partitioned,0.8569149521399494,0.5927997868858698,0.3,0.7678856116105378
fs1,4-month horizon,partitioned,0.84904830014303,0.6014809041309431,0.31,0.7678856116105378
fs1,4-month horizon,partitioned,0.8412916712509627,0.6101823405019351,0.32,0.7678856116105378
fs1,4-month horizon,partitioned,0.8336450654637474,0.6185811086619316,0.33,0.7678856116105378
fs1,4-month horizon,partitioned,0.8253933325998459,0.6258707712843615,0.34,0.7678856116105378
fs1,4-month horizon,partitioned,0.8175816921553526,0.6341255280112642,0.35,0.7678856116105378
fs1,4-month horizon,partitioned,0.8070744856419848,0.6417479550325883,0.36,0.7678856116105378
fs1,4-month horizon,partitioned,0.796567279128617,0.6497061066989724,0.37,0.7678856116105378
fs1,4-month horizon,partitioned,0.7856199801958411,0.6568392972127679,0.38,0.7678856116105378
fs1,4-month horizon,partitioned,0.7746726812630652,0.6644960362400906,0.39,0.7678856116105378
fs1,4-month horizon,partitioned,0.7634503245681593,0.6721557611275246,0.4,0.7678856116105378
fs1,4-month horizon,partitioned,0.7517878754538453,0.6792246520874752,0.41,0.7678856116105378
fs1,4-month horizon,partitioned,0.7398503685774013,0.6868392829783975,0.42,0.7678856116105378
fs1,4-month horizon,partitioned,0.7287380349873473,0.6950886766712142,0.43,0.7678856116105378
fs1,4-month horizon,partitioned,0.7159753548245131,0.7024124345620378,0.44,0.7678856116105378
fs1,4-month horizon,partitioned,0.7041478710529211,0.7085132292704528,0.45,0.7678856116105378
fs1,4-month horizon,partitioned,0.6912201562328089,0.7143263217737351,0.46,0.7678856116105378
fs1,4-month horizon,partitioned,0.6795026955660689,0.7216639401729376,0.47,0.7678856116105378
fs1,4-month horizon,partitioned,0.6665749807459567,0.7280100937274694,0.48,0.7678856116105378
fs1,4-month horizon,partitioned,0.6539773352404005,0.734461880637588,0.49,0.7678856116105378
fs1,4-month horizon,partitioned,0.6409946088678623,0.7410328160773341,0.5,0.7678856116105378
fs1,4-month horizon,partitioned,0.6270766861040818,0.747230416256965,0.51,0.7678856116105378
fs1,4-month horizon,partitioned,0.6148641214655077,0.7533701806416824,0.52,0.7678856116105378
fs1,4-month horizon,partitioned,0.6016613488832655,0.7590921710161022,0.53,0.7678856116105378
fs1,4-month horizon,partitioned,0.5898888766640995,0.7657097972007998,0.54,0.7678856116105378
fs1,4-month horizon,partitioned,0.5776763120255254,0.7707721667645332,0.55,0.7678856116105378
fs1,4-month horizon,partitioned,0.5660688744636374,0.7775426930633218,0.56,0.7678856116105378
fs1,4-month horizon,partitioned,0.5540213444823413,0.7829433258182383,0.57,0.7678856116105378
