position,name,block
329,hist_q4_m36_latest_minus_mean,window_statistics
330,hist_q4_m36_slope,window_statistics
331,hist_q4_all_mean,window_statistics
332,hist_q4_all_std,window_statistics
333,hist_q4_all_min,window_statistics
334,hist_q4_all_max,window_statistics
335,hist_q4_all_latest_minus_mean,window_statistics
336,hist_q4_all_slope,window_statistics
337,hist_q5_m06_mean,window_statistics
338,hist_q5_m06_std,window_statistics
339,hist_q5_m06_min,window_statistics
340,hist_q5_m06_max,window_statistics
341,hist_q5_m06_latest_minus_mean,window_statistics
342,hist_q5_m06_slope,window_statistics
343,hist_q5_m12_mean,window_statistics
344,hist_q5_m12_std,window_statistics
345,hist_q5_m12_min,window_statistics
346,hist_q5_m12_max,window_statistics
347,hist_q5_m12_latest_minus_mean,window_statistics
348,hist_q5_m12_slope,window_statistics
349,hist_q5_m24_mean,window_statistics
350,hist_q5_m24_std,window_statistics
351,hist_q5_m24_min,window_statistics
352,hist_q5_m24_max,window_statistics
353,hist_q5_m24_latest_minus_mean,window_statistics
354,hist_q5_m24_slope,window_statistics
355,hist_q5_m36_mean,window_statistics
356,hist_q5_m36_std,window_statistics
357,hist_q5_m36_min,window_statistics
358,hist_q5_m36_max,window_statistics
359,hist_q5_m36_latest_minus_mean,window_statistics
360,hist_q5_m36_slope,window_statistics
361,hist_q5_all_mean,window_statistics
362,hist_q5_all_std,window_statistics
363,hist_q5_all_min,window_statistics
364,hist_q5_all_max,window_statistics
365,hist_q5_all_latest_minus_mean,window_statistics
366,hist_q5_all_slope,window_statistics
367,hist_severity_index_m06_mean,window_statistics
368,hist_severity_index_m06_std,window_statistics
369,hist_severity_index_m06_min,window_statistics
370,hist_severity_index_m06_max,window_statistics
371,hist_severity_index_m06_latest_minus_mean,window_statistics
372,hist_severity_index_m06_slope,window_statistics
373,hist_severity_index_m12_mean,window_statistics
374,hist_severity_index_m12_std,window_statistics
375,hist_severity_index_m12_min,window_statistics
376,hist_severity_index_m12_max,window_statistics
377,hist_severity_index_m12_latest_minus_mean,window_statistics
378,hist_severity_index_m12_slope,window_statistics
379,hist_severity_index_m24_mean,window_statistics
380,hist_severity_index_m24_std,window_statistics
381,hist_severity_index_m24_min,window_statistics
382,hist_severity_index_m24_max,window_statistics
383,hist_severity_index_m24_latest_minus_mean,window_statistics
384,hist_severity_index_m24_slope,window_statistics
385,hist_severity_index_m36_mean,window_statistics
