test_month,model,precision,recall,f1,n,tp,fp,fn,tn,pct_err_all,pct_err_class1,scope,forecasting_horizon
2022-10,pooled,0.9859154929577464,0.3139013452914798,0.4761904761904763,5012,70,1,153,4788,0.0307262569832402,0.6860986547085202,fs3,12-month lag
2022-10,partitioned,0.7777777777777778,0.0941704035874439,0.1679999999999999,5012,21,6,202,4783,0.0415003990422984,0.905829596412556,fs3,12-month lag
2022-10,partitioned_thresholded,0.5691489361702128,0.4798206278026906,0.5206812652068126,5012,107,81,116,4708,0.0393056664006384,0.5201793721973094,fs3,12-month lag
2023-02,pooled,0.8863636363636364,0.3421052631578947,0.4936708860759494,4860,39,5,75,4741,0.0164609053497942,0.6578947368421053,fs3,12-month lag
2023-02,partitioned,0.8421052631578947,0.1403508771929824,0.2406015037593984,4860,16,3,98,4743,0.0207818930041152,0.8596491228070176,fs3,12-month lag
2023-02,partitioned_thresholded,0.5833333333333334,0.2456140350877192,0.345679012345679,4860,28,20,86,4726,0.0218106995884773,0.7543859649122807,fs3,12-month lag
2023-06,pooled,0.9720496894409938,0.4756838905775076,0.6387755102040816,5555,313,9,345,4888,0.0637263726372637,0.5243161094224924,fs3,12-month lag
2023-06,partitioned,0.9444444444444444,0.2066869300911854,0.3391521197007481,5555,136,8,522,4889,0.0954095409540954,0.7933130699088146,fs3,12-month lag
2023-06,partitioned_thresholded,0.7572347266881029,0.71580547112462,0.7359374999999999,5555,471,151,187,4746,0.0608460846084608,0.2841945288753799,fs3,12-month lag
2023-10,pooled,0.953216374269006,0.5292207792207793,0.6805845511482255,5410,163,8,145,5094,0.0282809611829944,0.4707792207792208,fs3,12-month lag
2023-10,partitioned,0.543859649122807,0.1006493506493506,0.1698630136986301,5410,31,26,277,5076,0.0560073937153419,0.8993506493506493,fs3,12-month lag
2023-10,partitioned_thresholded,0.3084832904884318,0.3896103896103896,0.3443328550932568,5410,120,269,188,4833,0.0844731977818854,0.6103896103896104,fs3,12-month lag
2024-02,pooled,0.9485294117647058,0.4432989690721649,0.6042154566744731,5697,129,7,162,5399,0.0296647358258732,0.5567010309278351,fs3,12-month lag
2024-02,partitioned,0.9147286821705426,0.4054982817869416,0.5619047619047619,5697,118,11,173,5395,0.032297700544146,0.5945017182130584,fs3,12-month lag
2024-02,partitioned_thresholded,0.4968944099378882,0.8247422680412371,0.6201550387596898,5697,240,243,51,5163,0.0516061084781463,0.1752577319587628,fs3,12-month lag
2024-06,pooled,0.9707602339181286,0.4896755162241888,0.6509803921568628,5697,166,5,173,5353,0.0312445146568369,0.5103244837758112,fs3,12-month lag
2024-06,partitioned,0.8113207547169812,0.1268436578171091,0.2193877551020408,5697,43,10,296,5348,0.0537124802527646,0.8731563421828908,fs3,12-month lag
2024-06,partitioned_thresholded,0.7129629629629629,0.4542772861356932,0.554954954954955,5697,154,62,185,5296,0.0433561523608917,0.5457227138643068,fs3,12-month lag
2024-10,pooled,0.91875,0.525,0.6681818181818182,5336,147,13,133,5043,0.0273613193403298,0.475,fs3,12-month lag
2024-10,partitioned,0.75,0.075,0.1363636363636363,5336,21,7,259,5049,0.0498500749625187,0.925,fs3,12-month lag
2024-10,partitioned_thresholded,0.5521739130434783,0.4535714285714285,0.4980392156862745,5336,127,103,153,4953,0.047976011994003,0.5464285714285714,fs3,12-month lag
