FEWSNET_admin_code,n,f1_pooled,f1_partitioned,f1_diff,precision_pooled,precision_partitioned,recall_pooled,recall_partitioned,pct_err_all_pooled,pct_err_all_partitioned,pct_err_class1_pooled,pct_err_class1_partitioned
829,12,0.5,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.75,0.4,0.6,0.3333333333333333,0.25,0.6,0.4
830,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
831,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
832,12,0.0,0.0,0.0,,,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
833,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
834,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
835,12,1.0,0.0,-1.0,,0.0,,,0.0,0.08333333333333333,0.0,0.0
836,12,1.0,0.0,-1.0,,0.0,,,0.0,0.08333333333333333,0.0,0.0
837,12,0.6666666666666666,0.7368421052631579,0.07017543859649122,1.0,1.0,0.5,0.5833333333333334,0.5,0.4166666666666667,0.5,0.4166666666666667
838,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
839,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
840,12,0.625,0.7058823529411764,0.0808823529411764,1.0,1.0,0.45454545454545453,0.5454545454545454,0.5,0.4166666666666667,0.5454545454545454,0.45454545454545453
841,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
842,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
843,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
844,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
845,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
846,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
847,12,1.0,0.0,-1.0,,0.0,,,0.0,0.16666666666666666,0.0,0.0
848,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
849,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,1.0,1.0
850,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
851,12,1.0,0.0,-1.0,,0.0,,,0.0,0.08333333333333333,0.0,0.0
852,12,1.0,0.0,-1.0,,0.0,,,0.0,0.16666666666666666,0.0,0.0
853,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
854,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.25,0.3333333333333333,1.0,1.0
855,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
856,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5833333333333334,1.0,1.0
857,12,0.5454545454545454,0.4444444444444444,-0.101010101010101,0.6,0.6666666666666666,0.5,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5,0.6666666666666666
858,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
859,12,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
860,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5,1.0,1.0
861,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
862,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,1.0,1.0
863,12,0.4444444444444444,0.4444444444444444,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.6666666666666666
864,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
865,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
866,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
867,12,0.5,0.5,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
868,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
869,12,0.4,0.3333333333333333,-0.06666666666666671,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666
870,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
871,12,0.6,0.7272727272727273,0.12727272727272732,0.6,0.6666666666666666,0.6,0.8,0.3333333333333333,0.25,0.4,0.2
872,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
873,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
874,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
875,12,0.8571428571428572,0.8,-0.05714285714285716,0.75,0.7272727272727273,1.0,0.8888888888888888,0.25,0.3333333333333333,0.0,0.1111111111111111
876,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
877,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
878,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
879,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
880,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
881,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
882,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
883,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
884,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
885,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,1.0,1.0
886,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
887,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
888,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
889,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
890,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0
891,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
892,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
893,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
894,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
895,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
896,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
897,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
898,12,0.8,0.7368421052631579,-0.06315789473684219,0.6666666666666666,0.6363636363636364,1.0,0.875,0.3333333333333333,0.4166666666666667,0.0,0.125
899,12,0.9565217391304348,0.9565217391304348,0.0,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.08333333333333333,0.0,0.0
900,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
901,12,0.3076923076923077,0.18181818181818182,-0.1258741258741259,0.4,0.3333333333333333,0.25,0.125,0.75,0.75,0.75,0.875
902,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
903,12,0.9090909090909091,0.8571428571428572,-0.051948051948051854,0.8333333333333334,0.8181818181818182,1.0,0.9,0.16666666666666666,0.25,0.0,0.1
904,12,0.0,0.0,0.0,0.0,,0.0,0.0,0.25,0.16666666666666666,1.0,1.0
905,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
906,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
907,12,0.6666666666666666,0.0,-0.6666666666666666,1.0,,0.5,0.0,0.08333333333333333,0.16666666666666666,0.5,1.0
908,12,0.9090909090909091,0.9090909090909091,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0
909,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
910,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
911,12,0.9090909090909091,0.9090909090909091,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0
912,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
913,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
914,12,0.9565217391304348,0.9565217391304348,0.0,0.9166666666666666,0.9166666666666666,1.0,1.0,0.08333333333333333,0.08333333333333333,0.0,0.0
915,12,0.5454545454545454,0.2222222222222222,-0.3232323232323232,0.75,0.5,0.42857142857142855,0.14285714285714285,0.4166666666666667,0.5833333333333334,0.5714285714285714,0.8571428571428571
916,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
917,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
918,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
919,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
920,12,0.0,0.4,0.4,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.25,1.0,0.6666666666666666
921,12,0.7368421052631579,0.8,0.06315789473684219,1.0,1.0,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333
922,12,0.5714285714285714,0.75,0.1785714285714286,0.6666666666666666,0.75,0.5,0.75,0.25,0.16666666666666666,0.5,0.25
923,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
924,12,0.6666666666666666,0.8,0.13333333333333341,1.0,0.6666666666666666,0.5,1.0,0.08333333333333333,0.08333333333333333,0.5,0.0
925,12,0.5714285714285714,0.75,0.1785714285714286,0.6666666666666666,0.75,0.5,0.75,0.25,0.16666666666666666,0.5,0.25
926,12,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
927,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
928,12,0.5,0.7272727272727273,0.2272727272727273,0.6666666666666666,0.6666666666666666,0.4,0.8,0.3333333333333333,0.25,0.6,0.2
929,12,0.5,0.7272727272727273,0.2272727272727273,0.6666666666666666,0.6666666666666666,0.4,0.8,0.3333333333333333,0.25,0.6,0.2
930,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
931,12,0.0,0.0,0.0,,,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0
932,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
933,12,0.0,0.4,0.4,,0.5,0.0,0.3333333333333333,0.25,0.25,1.0,0.6666666666666666
934,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
935,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
936,12,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
937,12,0.5454545454545455,0.6666666666666666,0.1212121212121211,1.0,1.0,0.375,0.5,0.4166666666666667,0.3333333333333333,0.625,0.5
938,12,0.4,0.0,-0.4,0.5,0.0,0.3333333333333333,0.0,0.25,0.3333333333333333,0.6666666666666666,1.0
939,12,0.6153846153846154,0.6153846153846154,0.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.4166666666666667,0.4166666666666667,0.5555555555555556,0.5555555555555556
940,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
941,12,0.42857142857142855,0.5882352941176471,0.15966386554621853,0.6,0.625,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.4444444444444444
942,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
943,12,0.7368421052631579,0.7368421052631579,0.0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
944,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0
945,12,0.3333333333333333,0.4,0.06666666666666671,0.5,1.0,0.25,0.25,0.3333333333333333,0.25,0.75,0.75
946,12,0.4,0.6666666666666666,0.2666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.16666666666666666,0.6666666666666666,0.3333333333333333
947,12,0.6666666666666666,0.8,0.13333333333333341,1.0,1.0,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.3333333333333333
948,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
949,12,0.6666666666666666,0.7499999999999999,0.08333333333333326,1.0,1.0,0.5,0.6,0.4166666666666667,0.3333333333333333,0.5,0.4
950,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
951,12,1.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0
952,12,0.6666666666666666,0.7692307692307692,0.10256410256410253,1.0,1.0,0.5,0.625,0.3333333333333333,0.25,0.5,0.375
953,12,0.7058823529411764,0.8999999999999999,0.1941176470588235,1.0,1.0,0.5454545454545454,0.8181818181818182,0.4166666666666667,0.16666666666666666,0.45454545454545453,0.18181818181818182
