scope,horizon_months,forecasting_horizon,target_month,group,display_group,raw_mean_abs_shap,group_share,matched_feature_count,normalization_denominator,fallback_samples,evaluated_samples
fs1,4,4-month horizon,2023-10,agri,Agri,4.953162108512659e-16,0.11582425514386248,24,4.276446330140831e-15,23,489
fs1,4,4-month horizon,2023-10,conflict,Conflict,8.554982635319237e-16,0.20004887177053632,38,4.276446330140831e-15,23,489
fs1,4,4-month horizon,2023-10,econ,Econ,6.598217803839964e-16,0.15429207558002192,16,4.276446330140831e-15,23,489
fs1,4,4-month horizon,2023-10,food_prices,Food Prices,3.181742368882853e-16,0.07440155033532415,6,4.276446330140831e-15,23,489
fs1,4,4-month horizon,2023-10,geographic,Geographic,4.89521904048854e-16,0.1144693201452462,8,4.276446330140831e-15,23,489
fs1,4,4-month horizon,2023-10,lag,Lag,6.369349595408147e-16,0.148940243924408,6,4.276446330140831e-15,23,489
fs1,4,4-month horizon,2024-02,weather,Weather,2.127702752851911e-15,0.10362504828045167,8,2.0532706986958202e-14,53,459
fs1,4,4-month horizon,2024-02,agri,Agri,1.5285262729395205e-15,0.07444348540649791,24,2.0532706986958202e-14,53,459
fs1,4,4-month horizon,2024-02,conflict,Conflict,4.127045665045897e-15,0.2009986149253131,38,2.0532706986958202e-14,53,459
fs1,4,4-month horizon,2024-02,econ,Econ,6.888376364426751e-15,0.3354831084280341,16,2.0532706986958202e-14,53,459
fs1,4,4-month horizon,2024-02,food_prices,Food Prices,1.273885867513543e-15,0.06204178866053461,6,2.0532706986958202e-14,53,459
fs1,4,4-month horizon,2024-02,geographic,Geographic,1.7934692635709217e-15,0.08734694673771379,8,2.0532706986958202e-14,53,459
fs1,4,4-month horizon,2024-02,lag,Lag,2.793700800609658e-15,0.13606100756145492,6,2.0532706986958202e-14,53,459
fs1,4,4-month horizon,2024-06,weather,Weather,7.652179872334042e-15,0.15223258152761385,8,5.026637396243586e-14,40,472
fs1,4,4-month horizon,2024-06,agri,Agri,1.3838896571058365e-14,0.27531121662764446,24,5.026637396243586e-14,40,472
fs1,4,4-month horizon,2024-06,conflict,Conflict,7.342911342355974e-15,0.14607998873846248,38,5.026637396243586e-14,40,472
fs1,4,4-month horizon,2024-06,econ,Econ,5.275165255971505e-15,0.10494421698118994,16,5.026637396243586e-14,40,472
fs1,4,4-month horizon,2024-06,food_prices,Food Prices,2.398783271360025e-15,0.047721430496511244,6,5.026637396243586e-14,40,472
fs1,4,4-month horizon,2024-06,geographic,Geographic,1.0028034428958639e-14,0.19949786782815496,8,5.026637396243586e-14,40,472
fs1,4,4-month horizon,2024-06,lag,Lag,3.730403220397305e-15,0.07421269780042304,6,5.026637396243586e-14,40,472
fs1,4,4-month horizon,2024-10,weather,Weather,5.295694985401621e-16,0.06852290188798826,8,7.728357730760279e-15,24,488
fs1,4,4-month horizon,2024-10,agri,Agri,5.629506507365416e-16,0.0728422092181234,24,7.728357730760279e-15,24,488
fs1,4,4-month horizon,2024-10,conflict,Conflict,1.1100897051391818e-15,0.14363849912392404,38,7.728357730760279e-15,24,488
fs1,4,4-month horizon,2024-10,econ,Econ,1.930511806867857e-15,0.2497958653213045,16,7.728357730760279e-15,24,488
fs1,4,4-month horizon,2024-10,food_prices,Food Prices,4.3978778301076263e-16,0.0569057228368618,6,7.728357730760279e-15,24,488
fs1,4,4-month horizon,2024-10,geographic,Geographic,7.592104983954802e-16,0.09823697670899516,8,7.728357730760279e-15,24,488
fs1,4,4-month horizon,2024-10,lag,Lag,2.396237788070294e-15,0.310057824902803,6,7.728357730760279e-15,24,488
fs2,8,8-month horizon,2021-02,weather,Weather,1.3414997187588469e-14,0.11220117007057559,8,1.195620079465331e-13,32,480
fs2,8,8-month horizon,2021-02,agri,Agri,8.540958242548002e-15,0.07143538645124989,24,1.195620079465331e-13,32,480
fs2,8,8-month horizon,2021-02,conflict,Conflict,2.857513158900466e-14,0.23899842499954638,38,1.195620079465331e-13,32,480
fs2,8,8-month horizon,2021-02,econ,Econ,2.0024773826583472e-14,0.16748442227181687,16,1.195620079465331e-13,32,480
fs2,8,8-month horizon,2021-02,food_prices,Food Prices,2.9397742786784356e-15,0.02458786306092377,6,1.195620079465331e-13,32,480
fs2,8,8-month horizon,2021-02,geographic,Geographic,2.4824200244891666e-14,0.2076261570982715,8,1.195620079465331e-13,32,480
fs2,8,8-month horizon,2021-02,lag,Lag,2.1242172577238403e-14,0.1776665760476161,6,1.195620079465331e-13,32,480
fs2,8,8-month horizon,2021-06,weather,Weather,2.612022977938049e-15,0.08354211101871743,8,3.1265944157825155e-14,12,500
fs2,8,8-month horizon,2021-06,agri,Agri,6.448665505518881e-15,0.20625206368204066,24,3.1265944157825155e-14,12,500
fs2,8,8-month horizon,2021-06,conflict,Conflict,4.7026142818955185e-15,0.15040691744850318,38,3.1265944157825155e-14,12,500
fs2,8,8-month horizon,2021-06,econ,Econ,8.636541776447683e-15,0.27622840151098244,16,3.1265944157825155e-14,12,500
fs2,8,8-month horizon,2021-06,food_prices,Food Prices,6.000421038432603e-16,0.019191555540889797,6,3.1265944157825155e-14,12,500
fs2,8,8-month horizon,2021-06,geographic,Geographic,3.008136121482828e-15,0.09621126764310298,8,3.1265944157825155e-14,12,500
fs2,8,8-month horizon,2021-06,lag,Lag,5.2579213906989345e-15,0.16816768315576347,6,3.1265944157825155e-14,12,500
