plan_a,year_a,month_a,forecasting_horizon_months_a,source_scope_a,plan_b,year_b,month_b,forecasting_horizon_months_b,source_scope_b,comparison_group,n_common_valid,adjusted_rand_index,normalized_mutual_information
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5360,0.03785204559989527,0.06306182506889885
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5360,0.047713683420649675,0.006218345869305073
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5360,0.09874943639928736,0.03380765272236519
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_06_fs2,2020,6,8,fs2,across_years,5360,0.5001360998657371,0.26080600731868386
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5360,0.2540497705258099,0.12075258241318249
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5281,0.0273368505639606,0.00464366008991313
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5281,0.13876207004780328,0.06811498297906092
GeoRF_2018_06_fs2,2018,6,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5281,0.2420583883232016,0.12265629758957099
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2018_10_fs1,2018,10,4,fs1,mixed,5358,0.0854333640941315,0.022392166010724097
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2018_10_fs2,2018,10,8,fs2,mixed,5358,0.040960294292891344,0.015931246285328767
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2018_10_fs3,2018,10,12,fs3,across_months,5358,0.09562336224625927,0.05400555877114902
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2019_02_fs2,2019,2,8,fs2,mixed,5358,0.01803882797984333,0.015417795787024225
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2019_02_fs3,2019,2,12,fs3,mixed,5358,0.016155375009113154,0.014844266162996346
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5358,0.04945166378111103,0.01994729426977012
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2019_06_fs3,2019,6,12,fs3,across_years,5358,0.006793702864916278,0.008594988433230182
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5358,-0.006291678747127981,0.004548148398400018
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5358,0.0007033235820501953,0.0025997282040516744
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5358,0.01884163394125778,0.007704066714026208
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5358,0.10638252539923124,0.030658469692878155
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5358,0.03168897751555227,0.010571210196138185
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_06_fs3,2020,6,12,fs3,across_years,5358,0.009300124581229021,0.004895764688202874
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5279,0.01205689480882598,0.005122437408210127
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5279,0.014134254881175885,0.00872555972169259
GeoRF_2018_06_fs3,2018,6,12,fs3,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5279,0.023421786893841237,0.006671104670973936
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2018_10_fs2,2018,10,8,fs2,across_horizons,5364,0.034695891843984514,0.010971522392968572
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2018_10_fs3,2018,10,12,fs3,across_horizons,5361,0.04178618040572993,0.008008192676414167
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2019_02_fs2,2019,2,8,fs2,mixed,5365,0.039276088259087356,0.05464641446363499
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2019_02_fs3,2019,2,12,fs3,mixed,5364,0.010942216793266828,0.00739099634898692
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5364,0.02913851656211063,0.01028787505345615
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5365,0.05479031477013159,0.08477683881325089
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5364,-0.009052896751276296,0.0047651624448556236
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5365,0.001722245402666222,0.0026178117183594343
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5365,0.019991699936989668,0.0032306886308660827
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5364,0.07604916916326936,0.018312902327126377
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5365,0.0212433049330067,0.0023944849470924796
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5365,0.019225099667854822,0.0038152045544263065
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_10_fs1,2020,10,4,fs1,across_years,5286,0.0024789263393789453,0.0010542536771107613
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_10_fs2,2020,10,8,fs2,mixed,5286,0.007871821250735673,0.006265362394550919
GeoRF_2018_10_fs1,2018,10,4,fs1,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5286,0.016949063245710404,0.0036921023153786625
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2018_10_fs3,2018,10,12,fs3,across_horizons,5361,0.11081191850709611,0.08457477198541863
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2019_02_fs2,2019,2,8,fs2,mixed,5364,-0.07084422602318075,0.047093777523606675
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2019_02_fs3,2019,2,12,fs3,mixed,5364,0.2332772369300516,0.25924483077959876
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5363,0.56693222459203,0.39815143823274946
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5364,-0.07374005944656381,0.04551517469764231
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2019_10_fs2,2019,10,8,fs2,across_years,5363,-0.095942301395418,0.038169316281711316
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2019_10_fs3,2019,10,12,fs3,mixed,0,,
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5364,0.06686987015494882,0.13944781247794305
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5364,0.5485264110167981,0.32848131285773646
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5363,0.025858473083033552,0.005514738311482419
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5364,0.1291468762031068,0.07927127976549384
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5364,0.4648475625199366,0.31148542709549004
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_10_fs1,2020,10,4,fs1,mixed,5285,0.40978378946788147,0.20818333032736672
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_10_fs2,2020,10,8,fs2,across_years,5285,0.4196206602943336,0.2844635144927744
GeoRF_2018_10_fs2,2018,10,8,fs2,GeoRF_2020_10_fs3,2020,10,12,fs3,mixed,5285,0.37800153727099023,0.20905552208596617
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2019_02_fs2,2019,2,8,fs2,mixed,5361,0.07723328795710922,0.11155293435150088
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2019_02_fs3,2019,2,12,fs3,mixed,5361,0.07262869735445586,0.07269075771251911
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2019_06_fs2,2019,6,8,fs2,mixed,5360,0.3223219404220812,0.20329194818972526
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2019_06_fs3,2019,6,12,fs3,mixed,5361,-0.058218164857126,0.02688327783767181
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2019_10_fs2,2019,10,8,fs2,mixed,5360,-0.05242990437417838,0.029861799590311048
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2019_10_fs3,2019,10,12,fs3,across_years,0,,
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_02_fs1,2020,2,4,fs1,mixed,5361,0.027330356817365006,0.055960197229255014
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_02_fs2,2020,2,8,fs2,mixed,5361,0.062635507672338,0.041957309326018405
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_02_fs3,2020,2,12,fs3,mixed,5360,0.11999191658365556,0.03945284519007077
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_06_fs1,2020,6,4,fs1,mixed,0,,
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_06_fs2,2020,6,8,fs2,mixed,5361,0.4521081750915279,0.20972920721964344
GeoRF_2018_10_fs3,2018,10,12,fs3,GeoRF_2020_06_fs3,2020,6,12,fs3,mixed,5361,0.21231043976380923,0.12996188801363817
