method,horizon_months,country_key,tp,fp,fn,tn,n,f1,precision,recall
correction_xgb,1,Dominican Republic,4,26,22,35,87,0.14285714285714285,0.13333333333333333,0.15384615384615385
correction_xgb,1,El Salvador,3,10,9,35,57,0.24,0.23076923076923078,0.25
correction_xgb,1,Eswatini,12,8,5,18,43,0.6486486486486487,0.6,0.7058823529411765
correction_xgb,1,Ethiopia,33,18,11,12,74,0.6947368421052632,0.6470588235294118,0.75
correction_xgb,1,Gambia,0,0,0,32,32,,,
correction_xgb,1,Ghana,16,23,29,197,265,0.38095238095238093,0.41025641025641024,0.35555555555555557
correction_xgb,1,Guatemala,18,30,8,181,237,0.4864864864864865,0.375,0.6923076923076923
correction_xgb,1,Guinea,0,1,4,106,111,0.0,0.0,0.0
correction_xgb,1,Guinea-Bissau,0,0,0,37,37,,,
correction_xgb,1,Haiti,162,108,11,0,281,0.7313769751693002,0.6,0.9364161849710982
correction_xgb,1,Honduras,21,52,12,64,149,0.39622641509433965,0.2876712328767123,0.6363636363636364
correction_xgb,1,Kenya,43,38,13,181,275,0.6277372262773723,0.5308641975308642,0.7678571428571429
correction_xgb,1,Lebanon,102,34,24,57,217,0.7786259541984732,0.75,0.8095238095238095
correction_xgb,1,Lesotho,16,6,3,15,40,0.7804878048780488,0.7272727272727273,0.8421052631578947
correction_xgb,1,Liberia,0,1,0,27,28,0.0,0.0,
correction_xgb,1,Madagascar,18,57,16,164,255,0.3302752293577982,0.24,0.5294117647058824
correction_xgb,1,Malawi,30,11,12,47,100,0.7228915662650602,0.7317073170731707,0.7142857142857143
correction_xgb,1,Mali,15,4,6,187,212,0.75,0.7894736842105263,0.7142857142857143
correction_xgb,1,Mauritania,0,2,2,166,170,0.0,0.0,0.0
correction_xgb,1,Mozambique,94,76,133,316,619,0.473551637279597,0.5529411764705883,0.41409691629955947
correction_xgb,1,Namibia,26,7,14,12,59,0.7123287671232876,0.7878787878787878,0.65
correction_xgb,1,Niger,15,17,17,183,232,0.46875,0.46875,0.46875
correction_xgb,1,Nigeria,177,130,169,2199,2675,0.5421133231240429,0.5765472312703583,0.5115606936416185
correction_xgb,1,Pakistan,100,78,32,75,285,0.6451612903225806,0.5617977528089888,0.7575757575757576
correction_xgb,1,"Palestine, State of",17,0,0,0,17,1.0,1.0,1.0
correction_xgb,1,Senegal,0,6,6,187,199,0.0,0.0,0.0
correction_xgb,1,Sierra Leone,3,10,8,59,80,0.25,0.23076923076923078,0.2727272727272727
correction_xgb,1,Somalia,799,525,409,1129,2862,0.6311216429699842,0.6034743202416919,0.6614238410596026
correction_xgb,1,South Africa,5,2,1,9,17,0.7692307692307693,0.7142857142857143,0.8333333333333334
